,100 Days Note,,,,,,
,"100 days is just a little over 3 months and I don't believe 3 months is truly sufficent to ""become a data engineer"" or at the very least it feels a little fast. There is no need to rush. The real purpose of this 100 days is to get you into the habit of practicing. If aftwards you want to dig into specific subjects, do that! Don't let this 100 days limit you. ",,,,,,
,,,,,,,
,,,,,,,
Day,Task,Notes,Category,Links,,,
Day 1,"For day one, what I reccomend is taking the time to answering some questions and write out your plan to commit to the next 100 days on social media or somewhere people can help keep you accontable. A discord group, slack, etc
1. What do you hope to accomplish by the end of the 100 days
2. Are there any topics you'd like to learn that aren't covered? 
",,Take a moment to write your goals,https://discord.gg/2yRJq7Eg3k,,,
Day 2,"1. Downloading SQL Server And Creating A Tables
2. Joins
3. Case Statements
4. Self Joins And Cross Joins",,SQL,https://www.youtube.com/watch?v=RSlqWnP-Dy8&list=PLDp4ZIFbgTTO8dxL7dNaBxZJY6JzyHHpA&index=1,https://www.youtube.com/watch?v=9URM1_2S0ho&list=PLDp4ZIFbgTTO8dxL7dNaBxZJY6JzyHHpA&index=5,https://www.youtube.com/watch?v=Twusw__OzA8&list=PLDp4ZIFbgTTO8dxL7dNaBxZJY6JzyHHpA&index=7,https://www.interviewquery.com/learning-paths/data-engineering/medium-sql-questions/self-joins-and-cross-joins?ref=sdg
Day 3,"1. SQL Interview Tips
2.Solving More Problems With SQL",,SQL,https://www.youtube.com/watch?v=W2L7Q3J-ei0&t=1s,https://www.youtube.com/watch?v=FNYdBLwZ6cE,,
Day 4,"1. Partition By
2. CTE (Common Table Expression)
3. Stored Procedures",,SQL,https://www.youtube.com/watch?v=D6XNlTfglW4&list=PLDp4ZIFbgTTO8dxL7dNaBxZJY6JzyHHpA&index=11,https://www.youtube.com/watch?v=K1WeoKxLZ5o&list=PLDp4ZIFbgTTO8dxL7dNaBxZJY6JzyHHpA&index=12,https://www.youtube.com/watch?v=NrBJmtD0kEw&list=PLDp4ZIFbgTTO8dxL7dNaBxZJY6JzyHHpA&index=15,
Day 5,"1. Loops Strings And Tuples
2. Functions
3. Mutabiltiy 
4. Error Handling ",,Programming,https://www.youtube.com/watch?v=iv5m0c-8Opc&list=PLQVvvaa0QuDeAams7fkdcwOGBpGdHpXln&index=2,https://www.youtube.com/watch?v=8YbIwueDQx4&list=PLQVvvaa0QuDeAams7fkdcwOGBpGdHpXln&index=6,https://www.youtube.com/watch?v=xwPWcFKeIac&list=PLQVvvaa0QuDeAams7fkdcwOGBpGdHpXln&index=8,https://www.youtube.com/watch?v=BYpSfx7I6x4&list=PLQVvvaa0QuDeAams7fkdcwOGBpGdHpXln&index=9
Day 6,Basic Linux Commands 1/3,"This video is quite long, so I've put it over the next three days. So you can watch a little over 1.5 hours a day",Linux,https://www.youtube.com/watch?v=ZtqBQ68cfJc,,,
Day 7,Basic Linux Commands 2/3,,Linux,https://www.youtube.com/watch?v=ZtqBQ68cfJc,,,
Day 8,Basic Linux Commands 3/3,,Linux,https://www.youtube.com/watch?v=ZtqBQ68cfJc,,,
Day 9,"1.Data Modeling Basics
2.Normalization Vs Denormalization",,Data Model,https://www.youtube.com/watch?v=nof9jYIhv54&t=1s,https://seattledataguy.substack.com/p/normalization-vs-denormalization,,
Day 10,"Read Chapters 1,2,3 in Kimballs Data Warehousing Toolkit",,Data Model,http://160592857366.free.fr/joe/ebooks/ShareData/The%20Data%20Warehouse%20Toolkit.pdf,,,
Day 11,What is Data Pipeline | How to design Data Pipeline ? - ETL vs Data pipeline (2023),,Data Pipeline,https://www.youtube.com/watch?v=VtzvF17ysbc,,,
Day 12,SQL Project Example,,SQL Deeper Dive,https://www.youtube.com/watch?v=qfyynHBFOsM,,,
Day 13,"1. 262. Trips and Users
2. Popularity of Hack
3. Average Salaries
4. 626. Exchange Seats",,SQL Deeper Dive,https://leetcode.com/problems/trips-and-users/,https://platform.stratascratch.com/coding/10061-popularity-of-hack?via=sdg,https://platform.stratascratch.com/coding/9917-average-salaries?via=sdg,https://leetcode.com/problems/exchange-seats/
Day 14,"Use the `bigquery-public-data.stackoverflow.*` data set and answer some of the following questions and come up with some of your own
1. What percentage of stackoverflow questions that ended with a ""?"" had accepted answers
2. Are there certain programming langauges that are more likely to have accepted answers
3. Do certain programming languages have questions that get answered more quickly
4. Do certain programming langauges get more answers on average than others?","1. What questions can you answer using this data set?
2. Are there places you can join the data set?
3. Write out 10 questions you think you can answer",SQL Deeper Dive,#REF!,,,
Day 15,Continue from yesterday with new questions. Come up with some of your own?,,SQL Deeper Dive,#REF!,,,
Day 16,AWS Certificate Prep,"This video is a a 10 hour video, I'd reccomend you break it down into 2 hour segments over the next few days. You should also take notes and share them. Also, another benefit here is if you feel confident, you might be able to consider taking a cert once you're done with this set of videos and some of the projects",Cloud,https://www.youtube.com/watch?v=Ia-UEYYR44s,,,
Day 17,AWS Certificate Prep,,Cloud,https://www.youtube.com/watch?v=Ia-UEYYR44s,,,
Day 18,AWS Certificate Prep,,Cloud,https://www.youtube.com/watch?v=Ia-UEYYR44s,,,
Day 19,AWS Certificate Prep,,Cloud,https://www.youtube.com/watch?v=Ia-UEYYR44s,,,
Day 20,AWS Certificate Prep,,Cloud,https://www.youtube.com/watch?v=Ia-UEYYR44s,,,
